product_id,MAE,RMSE,MAPE,Bias,Mean_Actual,Mean_Predicted,model
FOODS_1_049_TX_2_validation,0.11224489795918366,0.20560654775112128,50.0,0.04081632653061223,0.07142857142857142,0.11224489795918366,Baseline_MA7
FOODS_1_079_CA_4_validation,0.22448979591836732,0.39123039821797584,71.42857142857144,0.061224489795918324,0.10714285714285714,0.16836734693877548,Baseline_MA7
FOODS_1_097_CA_2_validation,0.9438775510204082,1.165277529224956,42.180451127819545,0.1377551020408163,1.1785714285714286,1.3163265306122451,Baseline_MA7
FOODS_2_052_WI_1_validation,0.7959183673469387,1.0087084372455017,33.511904761904766,0.051020408163265286,1.1785714285714286,1.2295918367346936,Baseline_MA7
FOODS_2_078_CA_4_validation,0.7346938775510203,0.8596900926459407,44.19642857142858,-0.06122448979591834,0.8928571428571429,0.8316326530612245,Baseline_MA7
FOODS_1_049_TX_2_validation,0.11594452649406163,0.2074300842933565,43.53436375097342,0.056575831723873385,0.07142857142857142,0.12800440315244482,LightGBM
FOODS_1_079_CA_4_validation,0.20249721890576877,0.36587399488304634,58.141687785492955,0.061496611041063506,0.10714285714285714,0.16863946818392067,LightGBM
FOODS_1_097_CA_2_validation,0.9251544380784958,1.1461189705677512,39.8856850196479,0.12640207653856092,1.1785714285714286,1.3049735051099893,LightGBM
FOODS_2_052_WI_1_validation,0.8445606271440929,1.0605987470810465,35.43134114001535,0.046027111560660826,1.1785714285714286,1.2245985401320894,LightGBM
FOODS_2_078_CA_4_validation,0.7429004061005163,0.913523839048426,41.81302401944041,-0.062208684678738954,0.8928571428571429,0.8306484581784037,LightGBM
