feature,importance,percentage
rolling_mean_7,2880524.677253723,64.90098205733388
rolling_mean_14,1461771.495051384,32.935112940153985
sold_lag_1,36091.91752099991,0.813185497052718
day_sin,32667.782715320587,0.7360364577335484
rolling_mean_28,13641.197319984436,0.30734925116105133
sold_lag_7,5658.402164936066,0.12748922454287578
sold_lag_28,3846.048558473587,0.08665516058800377
sold_lag_14,1980.3726115226746,0.044619693190688633
is_weekend,1315.6311626434326,0.029642431170628626
day_cos,840.0568952560425,0.01892728707262164
